MAGIC PREFIX: ShipSurrender_AIDemand	Optional cloned name.  If blank, name from column A will be used. (Typical case.)  If not blank, a new interaction will be cloned from column A, using this new name.			Clones template interaction's aInverse, but if there is ANYTHING in this cell, overwrites template aInverse with cell (and replaces magic prefix).  Entries use pipe | as separator. (Commas optionally used in each entry e.g. Name,[us],them].)  eg. STKTemplate_Intro_Allow_Friendly, STKTemplate_Intro_Allow_Criminal -> PREFIX_Intro_Allow_Friendly, PREFIX_Intro_Allow_Criminal	S			Clones loot_stk_template, then adds aCOs or aLoots:  aCOs,TestCond=1.0x1,aLoots,TestLoot=0.5x1		Clones contrigs_stk_template, then adds aReqs or aForbids:  aReqs,string,string aForbids,string,string		Common overrides: fForcedChance, 1 PSpecTestThem, YOUR_TEST_HERE, bHumanOnly, true, bRandomInverse, false etc	
Intro_Allow_TraitUs_Blank	Intro_Allow_TraitUs_Kind	Allow kind	No one needs to die today. You can go.		Success	3	Y	aCOs, IsSTKShipSurrender_PlayerOffer_AIAccepted=1.0x1, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, StatMeaning=1.0x23, -StatSecurity=1.0x45	aReqs,IsKind		LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Allow_TraitUs_Blank	Intro_Allow_TraitUs_Forgiving	Allow forgiving	No one needs to die today. You can go.		Success	3	Y	aCOs, IsSTKShipSurrender_PlayerOffer_AIAccepted=1.0x1, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, StatMeaning=1.0x23, -StatSecurity=1.0x45	aReqs,IsForgiving		LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Allow_TraitUs_Blank	Intro_Allow_TraitUs_Agliophobic	Allow agliophobic	Oh? Okay that worked? I accept.		Success	3	Y	aCOs, IsSTKShipSurrender_PlayerOffer_AIAccepted=1.0x1, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, StatMeaning=1.0x23, -StatSecurity=1.0x45	aReqs,IsAgliophobic		LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
													
													
CONDITIONS	Defaults: bResetTimer: true, nDisplaySelf: 0, nDisplayOther: 0, fDuration: 0.1, strColor : Neutral												
Name	strNameFriendly	strDesc									Other		
													
													
													
CONDITION TRIGGERS													
Name													
													
LOOT													
Name													
													
CONTEXTS													
Name (strName)	strTitle	strMainText											
													
													
CONTEXT LOOT													
Loot + Source	Interactions												
Us - from this spreadsheet													
Us - from elsewhere													
Them - from this spreadsheet													
Them - from elsewhere													
